format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
json, 0.02391397953033447, 50, 0.4592090249061584, 21779, NSURLConnection, TouchJSON, 
json, 0.04301100969314575, 100, 0.3761569857597351, 42804, NSURLConnection, TouchJSON, 
json, 0.0623440146446228, 150, 0.4562669992446899, 64575, NSURLConnection, TouchJSON, 
json, 0.08140599727630615, 200, 0.7366809844970703, 85928, NSURLConnection, TouchJSON, 
json, 0.01849603652954102, 50, 0.2780970335006714, 21527, NSURLConnection, SBJSON, 
json, 0.03033298254013062, 100, 0.3708660006523132, 43049, NSURLConnection, SBJSON, 
json, 0.04392898082733154, 150, 0.438273012638092, 64764, NSURLConnection, SBJSON, 
json, 0.05709201097488403, 200, 0.5160459876060486, 86850, NSURLConnection, SBJSON, 
json, 0.01451796293258667, 50, 0.2698850035667419, 21453, NSURLConnection, JSONKit, 
json, 0.01763498783111572, 100, 0.3652790188789368, 42916, NSURLConnection, JSONKit, 
json, 0.02541500329971313, 150, 0.5500880479812622, 64110, NSURLConnection, JSONKit, 
json, 0.03238099813461304, 200, 0.6730659604072571, 85549, NSURLConnection, JSONKit, 
json, 0.01466500759124756, 50, 0.2760979533195496, 21370, NSURLConnection, YAJL, 
json, 0.01845401525497437, 100, 0.373257040977478, 42816, NSURLConnection, YAJL, 
json, 0.0253790020942688, 150, 0.4599509835243225, 64606, NSURLConnection, YAJL, 
json, 0.03164297342300415, 200, 0.5326690077781677, 85473, NSURLConnection, YAJL, 
json, 0.1292250156402588, 50, 0.2462729811668396, 21468, NSURLConnection, BSJSON, 
json, 0.2520020008087158, 100, 0.3878600001335144, 42965, NSURLConnection, BSJSON, 
json, 0.3757170438766479, 150, 0.796608030796051, 64165, NSURLConnection, BSJSON, 
json, 0.5030159950256348, 200, 0.7823039889335632, 86389, NSURLConnection, BSJSON, 
yaml, 0.0429610013961792, 50, 0.3430100083351135, 23129, NSURLConnection, YAML, 
yaml, 0.06269699335098267, 100, 0.4146350026130676, 46455, NSURLConnection, YAML, 
yaml, 0.09139096736907959, 150, 0.5345690250396729, 69167, NSURLConnection, YAML, 
yaml, 0.1208899617195129, 200, 0.6366750001907349, 93075, NSURLConnection, YAML, 
binplist, 0.005532979965209961, 50, 0.2864060401916504, 17701, NSURLConnection, BinaryPlist, 
binplist, 0.009638011455535889, 100, 0.3800430297851562, 34373, NSURLConnection, BinaryPlist, 
binplist, 0.012440025806427, 150, 0.4691770076751709, 51081, NSURLConnection, BinaryPlist, 
binplist, 0.01480394601821899, 200, 0.6539080142974854, 67880, NSURLConnection, BinaryPlist, 
xmlplist, 0.0126270055770874, 50, 0.3726059794425964, 37798, NSURLConnection, XMLPlist, 
xmlplist, 0.02092701196670532, 100, 0.5049850344657898, 75412, NSURLConnection, XMLPlist, 
xmlplist, 0.02960497140884399, 150, 14.81454801559448, 112130, NSURLConnection, XMLPlist, 
xmlplist, 0.03657901287078857, 200, 1.83781498670578, 150792, NSURLConnection, XMLPlist, 
xmlplistformatted, 0.01289600133895874, 50, 0.3523210287094116, 48069, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.02176296710968018, 100, 1.586049020290375, 95747, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.03068697452545166, 150, 0.8542150259017944, 143530, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.039326012134552, 200, 1.106873989105225, 191475, NSURLConnection, XMLFormattedPlist, 
xml, 0.02845102548599243, 50, 0.2886350154876709, 26340, NSURLConnection, NSXMLParser, 
xml, 0.05254000425338745, 100, 0.4271639585494995, 53018, NSURLConnection, NSXMLParser, 
xml, 0.0773320198059082, 150, 0.4281399846076965, 80448, NSURLConnection, NSXMLParser, 
xml, 0.1023539900779724, 200, 0.5771169662475586, 105474, NSURLConnection, NSXMLParser, 
xml, 0.02398800849914551, 50, 0.2563190460205078, 26521, NSURLConnection, TouchXML, 
xml, 0.04245394468307495, 100, 0.3717589974403381, 53397, NSURLConnection, TouchXML, 
xml, 0.06113404035568237, 150, 0.5347570180892944, 79029, NSURLConnection, TouchXML, 
xml, 0.0806959867477417, 200, 0.586279034614563, 106453, NSURLConnection, TouchXML, 
xml, 0.02231401205062866, 50, 0.2774030566215515, 26525, NSURLConnection, LibXMLDom, 
xml, 0.02961701154708862, 100, 0.353085994720459, 52924, NSURLConnection, LibXMLDom, 
xml, 0.04215502738952637, 150, 0.4557270407676697, 79300, NSURLConnection, LibXMLDom, 
xml, 0.05678802728652954, 200, 0.6336879730224609, 106396, NSURLConnection, LibXMLDom, 
xml, 0.02292299270629883, 50, 0.3015519976615906, 26576, NSURLConnection, LibXMLSAX, 
xml, 0.04308998584747314, 100, 0.3729760050773621, 52710, NSURLConnection, LibXMLSAX, 
xml, 0.06205600500106812, 150, 0.516323983669281, 79399, NSURLConnection, LibXMLSAX, 
xml, 0.08292800188064575, 200, 0.5852119922637939, 105498, NSURLConnection, LibXMLSAX, 
csv, 0.03063100576400757, 50, 0.220956027507782, 13075, NSURLConnection, CSV, 
csv, 0.03906798362731934, 100, 0.2487340569496155, 26586, NSURLConnection, CSV, 
csv, 0.04995298385620117, 150, 0.3169810175895691, 40994, NSURLConnection, CSV, 
csv, 0.06657296419143677, 200, 0.3979759812355042, 53276, NSURLConnection, CSV, 
xml, 0.01211899518966675, 50, 0.2806090116500854, 26732, NSURLConnection, TBXML, 
xml, 0.01893699169158936, 100, 0.3361660242080688, 52698, NSURLConnection, TBXML, 
