format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
json, 0.02408802509307861, 50, 0.2034679651260376, 21520, NSURLConnection, TouchJSON, 
json, 0.04351198673248291, 100, 0.1280730366706848, 42824, NSURLConnection, TouchJSON, 
json, 0.06391400098800659, 150, 0.1279270052909851, 64521, NSURLConnection, TouchJSON, 
json, 0.07969397306442261, 200, 0.1370050311088562, 85253, NSURLConnection, TouchJSON, 
json, 0.01682496070861816, 50, 0.1195270419120789, 21108, NSURLConnection, SBJSON, 
json, 0.02849000692367554, 100, 0.1155480146408081, 43390, NSURLConnection, SBJSON, 
json, 0.04067003726959229, 150, 0.1226000189781189, 65118, NSURLConnection, SBJSON, 
json, 0.05799901485443115, 200, 0.1325890421867371, 85500, NSURLConnection, SBJSON, 
json, 0.009940981864929199, 50, 0.1168360114097595, 21714, NSURLConnection, JSONKit, 
json, 0.01577299833297729, 100, 0.1101899743080139, 43027, NSURLConnection, JSONKit, 
json, 0.02340096235275269, 150, 0.1354759931564331, 63920, NSURLConnection, JSONKit, 
json, 0.02921998500823975, 200, 0.1264039874076843, 86124, NSURLConnection, JSONKit, 
json, 0.01005196571350098, 50, 0.1091539859771729, 21270, NSURLConnection, YAJL, 
json, 0.01507598161697388, 100, 0.112421989440918, 42917, NSURLConnection, YAJL, 
json, 0.0229029655456543, 150, 0.1313019990921021, 64606, NSURLConnection, YAJL, 
json, 0.02926498651504517, 200, 0.1254639625549316, 86120, NSURLConnection, YAJL, 
json, 0.1260770559310913, 50, 0.1042599678039551, 21300, NSURLConnection, BSJSON, 
json, 0.2509639859199524, 100, 0.1218889951705933, 43186, NSURLConnection, BSJSON, 
json, 0.3724169731140137, 150, 0.1371049880981445, 64427, NSURLConnection, BSJSON, 
json, 0.4940249919891357, 200, 0.1813070178031921, 85703, NSURLConnection, BSJSON, 
yaml, 0.03376197814941406, 50, 0.2101550102233887, 23426, NSURLConnection, YAML, 
yaml, 0.06294399499893188, 100, 0.1323819756507874, 46106, NSURLConnection, YAML, 
yaml, 0.08926403522491455, 150, 0.1474090218544006, 69272, NSURLConnection, YAML, 
yaml, 0.1168469786643982, 200, 0.1634230017662048, 93288, NSURLConnection, YAML, 
binplist, 0.005383014678955078, 50, 0.1447209715843201, 17503, NSURLConnection, BinaryPlist, 
binplist, 0.00688701868057251, 100, 0.2192149758338928, 34582, NSURLConnection, BinaryPlist, 
binplist, 0.01058900356292725, 150, 0.2225489616394043, 51155, NSURLConnection, BinaryPlist, 
binplist, 0.01137101650238037, 200, 0.273099958896637, 67662, NSURLConnection, BinaryPlist, 
xmlplist, 0.01135396957397461, 50, 0.1205839514732361, 37487, NSURLConnection, XMLPlist, 
xmlplist, 0.02078300714492798, 100, 0.1485009789466858, 75333, NSURLConnection, XMLPlist, 
xmlplist, 0.02728402614593506, 150, 0.157323956489563, 112444, NSURLConnection, XMLPlist, 
xmlplist, 0.03695094585418701, 200, 0.1861479878425598, 150693, NSURLConnection, XMLPlist, 
xmlplistformatted, 0.01076400279998779, 50, 0.1256960034370422, 48079, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.01872903108596802, 100, 0.1551799774169922, 95782, NSURLConnection, XMLFormattedPlist, 
